"id","timestamp","detail","level"
78429,"2026-07-02 21:31:15.254540",Starting update loop: 26139,DEBUG
78430,"2026-07-02 21:31:15.556546",no target found,INFO
78431,"2026-07-02 21:31:15.566134",Ending update loop: 26139,DEBUG
78432,"2026-07-02 21:31:16.254411",Starting update loop: 26140,DEBUG
78433,"2026-07-02 21:31:16.499854",no target found,INFO
78434,"2026-07-02 21:31:16.503174",Ending update loop: 26140,DEBUG
78435,"2026-07-02 21:31:17.254711",Starting update loop: 26141,DEBUG
78436,"2026-07-02 21:31:17.583577",selected target https://www.play-in.com/en/extension/1320/lorwyn-eclipse/cartes/?_rsc=thdsj,INFO
78437,"2026-07-02 21:31:20.012163",created browser Thunderous Alex,INFO
78438,"2026-07-02 21:31:20.015451",no browser available for f4fd4b4c-a7fc-4e87-b66e-b994045adde7,WARNING
78439,"2026-07-02 21:31:20.018665",Ending update loop: 26141,DEBUG
78440,"2026-07-02 21:31:20.021900",Starting update loop: 26142,DEBUG
78441,"2026-07-02 21:31:20.308249",selected target https://www.play-in.com/en/extension/1320/lorwyn-eclipse/cartes/?_rsc=thdsj,INFO
78442,"2026-07-02 21:31:20.314415",browser Thunderous Alex selected for f4fd4b4c-a7fc-4e87-b66e-b994045adde7,INFO
78443,"2026-07-02 21:31:20.322557",Ending update loop: 26142,DEBUG
78444,"2026-07-02 21:31:20.325748",Starting update loop: 26143,DEBUG
78445,"2026-07-02 21:31:20.555830",no target found,INFO
78446,"2026-07-02 21:31:20.561519",Ending update loop: 26143,DEBUG
78447,"2026-07-02 21:31:20.566533",Starting update loop: 26144,DEBUG
78448,"2026-07-02 21:31:20.798858",no target found,INFO
78449,"2026-07-02 21:31:20.805037",Ending update loop: 26144,DEBUG
78450,"2026-07-02 21:31:21.255094",Starting update loop: 26145,DEBUG
78451,"2026-07-02 21:31:21.591345",no target found,INFO
78452,"2026-07-02 21:31:21.597814",Ending update loop: 26145,DEBUG
78453,"2026-07-02 21:31:22.254746",Starting update loop: 26146,DEBUG
78454,"2026-07-02 21:31:22.512662",no target found,INFO
78455,"2026-07-02 21:31:22.538769",Ending update loop: 26146,DEBUG
78456,"2026-07-02 21:31:23.255046",Starting update loop: 26147,DEBUG
78457,"2026-07-02 21:31:23.609766",no target found,INFO
78458,"2026-07-02 21:31:23.618279",Ending update loop: 26147,DEBUG
78459,"2026-07-02 21:31:24.254915",Starting update loop: 26148,DEBUG
78460,"2026-07-02 21:31:24.504697",no target found,INFO
78461,"2026-07-02 21:31:24.510467",task f18c9a26-544c-44ea-a72b-097c28445603 failed: ,WARNING
78462,"2026-07-02 21:31:24.519211",Ending update loop: 26148,DEBUG
78463,"2026-07-02 21:31:25.254768",Starting update loop: 26149,DEBUG
78464,"2026-07-02 21:31:25.562805",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
